language,variant,size,block_size,event,avg_value,unit,avg_time_enabled_ns,avg_time_enabled_seconds,avg_percent_running
cpp,block,10240,256,cpu_atom/instructions/,1385583997578.666748,,378938.666667,0.000379,0.000000
cpp,block,10240,256,cpu_core/cache-misses/,1370626272.666667,,368908012400.666687,368.908012,99.000000
cpp,block,10240,256,cpu_core/cache-references/,236699772083.333344,,368908012400.666687,368.908012,99.000000
cpp,block,10240,256,cpu_core/cycles/,1799792629101.666748,,368908012400.666687,368.908012,99.000000
cpp,block,10240,256,cpu_core/instructions/,7574630593564.333008,,368908012400.666687,368.908012,99.000000
cpp,block,10240,512,cpu_atom/cache-misses/,3297106688.333333,,343199.333333,0.000343,0.000000
cpp,block,10240,512,cpu_atom/cache-references/,14601673813.333334,,343199.333333,0.000343,0.000000
cpp,block,10240,512,cpu_atom/cycles/,1269384715003.333252,,343199.333333,0.000343,0.000000
cpp,block,10240,512,cpu_atom/instructions/,1384816426852.333252,,343199.333333,0.000343,0.000000
cpp,block,10240,512,cpu_core/cache-misses/,926712716.000000,,348906562724.333313,348.906563,99.000000
cpp,block,10240,512,cpu_core/cache-references/,178174444441.666656,,348906562724.333313,348.906563,99.000000
cpp,block,10240,512,cpu_core/cycles/,1696334704438.000000,,348906562724.333313,348.906563,99.000000
cpp,block,10240,512,cpu_core/instructions/,7549074473481.333008,,348906562724.333313,348.906563,99.000000
cpp,line,1024,0,cpu_atom/cache-misses/,2722470.500000,,352579.000000,0.000353,0.000000
cpp,line,1024,0,cpu_atom/cache-references/,14705919.500000,,352579.000000,0.000353,0.000000
cpp,line,1024,0,cpu_atom/cycles/,1102481333.000000,,352579.000000,0.000353,0.000000
cpp,line,1024,0,cpu_atom/instructions/,1207752253.000000,,352579.000000,0.000353,0.000000
cpp,line,1024,0,cpu_core/cache-misses/,659411.333333,,302507494.000000,0.302507,99.333333
cpp,line,1024,0,cpu_core/cache-references/,136076271.333333,,302507494.000000,0.302507,99.333333
cpp,line,1024,0,cpu_core/cycles/,1509941469.333333,,302507494.000000,0.302507,99.333333
cpp,line,1024,0,cpu_core/instructions/,8655128461.666666,,302507494.000000,0.302507,99.333333
cpp,line,1536,0,cpu_atom/cache-misses/,9468885.333333,,380710.666667,0.000381,0.000000
cpp,line,1536,0,cpu_atom/cache-references/,39927408.666667,,380710.666667,0.000381,0.000000
cpp,line,1536,0,cpu_atom/cycles/,4014920719.666667,,380710.666667,0.000381,0.000000
cpp,line,1536,0,cpu_atom/instructions/,4107239793.333333,,380710.666667,0.000381,0.000000
cpp,line,1536,0,cpu_core/cache-misses/,9946728.000000,,1113877289.333333,1.113877,99.000000
cpp,line,1536,0,cpu_core/cache-references/,458623802.666667,,1113877289.333333,1.113877,99.000000
cpp,line,1536,0,cpu_core/cycles/,5541701408.000000,,1113877289.333333,1.113877,99.000000
cpp,line,1536,0,cpu_core/instructions/,29130067652.666668,,1113877289.333333,1.113877,99.000000
cpp,line,2048,0,cpu_atom/cache-misses/,30658003.333333,,354384.666667,0.000354,0.000000
cpp,line,2048,0,cpu_atom/cache-references/,171419809.333333,,354384.666667,0.000354,0.000000
cpp,line,2048,0,cpu_atom/cycles/,13040248695.333334,,354384.666667,0.000354,0.000000
cpp,line,2048,0,cpu_atom/instructions/,14122523998.000000,,354384.666667,0.000354,0.000000
cpp,line,2048,0,cpu_core/cache-misses/,245346415.666667,,3590976106.666667,3.590976,99.000000
cpp,line,2048,0,cpu_core/cache-references/,1090504178.333333,,3590976106.666667,3.590976,99.000000
cpp,line,2048,0,cpu_core/cycles/,17900871598.000000,,3590976106.666667,3.590976,99.000000
cpp,line,2048,0,cpu_core/instructions/,68969816683.666672,,3590976106.666667,3.590976,99.000000
cpp,line,2560,0,cpu_atom/cache-misses/,85544987.666667,,354944.333333,0.000355,0.000000
cpp,line,2560,0,cpu_atom/cache-references/,253175643.333333,,354944.333333,0.000355,0.000000
cpp,line,2560,0,cpu_atom/cycles/,28224344039.666668,,354944.333333,0.000355,0.000000
cpp,line,2560,0,cpu_atom/instructions/,30632390074.333332,,354944.333333,0.000355,0.000000
cpp,line,2560,0,cpu_core/cache-misses/,1086058939.000000,,7766186187.666667,7.766186,99.000000
cpp,line,2560,0,cpu_core/cache-references/,2134670547.000000,,7766186187.666667,7.766186,99.000000
cpp,line,2560,0,cpu_core/cycles/,38719981918.333336,,7766186187.666667,7.766186,99.000000
cpp,line,2560,0,cpu_core/instructions/,134627232853.000000,,7766186187.666667,7.766186,99.000000
cpp,line,3072,0,cpu_atom/cache-misses/,108897437.500000,,184275.000000,0.000184,0.000000
cpp,line,3072,0,cpu_atom/cache-references/,1275118327.000000,,184275.000000,0.000184,0.000000
cpp,line,3072,0,cpu_atom/cycles/,42256752686.000000,,184275.000000,0.000184,0.000000
